C00627	C00627	C1(COP(=O)(O)O)=CN=C(C)C(O)=C1CO
C00029	C00029	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O
C00103	C00103	[C@@H]1(OP(=O)(O)O)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
C00052	C00052	C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O
C04089	C04089	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C(=O)[C@H](O)[C@H]2O)C)O1)O)N1C=CC(=O)NC1=O
C01861	C01861	S([O-])(=O)(=O)SS([O-])(=O)=O
C01328	C01328	[OH-]
C11481	C11481	S([O-])(O)=O
C03196	C03196	[C@@H](O)(C(=O)O)CCC(=O)O
C00031	C00031	[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|
C00092	C00092	P(=O)(O)(O)OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:6,9,11,13,w:8|
C00198	C00198	[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)=O
C03107	C03107	[C@H]1(C(O)CO)OC([C@H](O)[C@H]1O)=O
C02779	C02779	[C@H]1(CO)O[C@H](C(=O)[C@@H](O)[C@@H]1O)O
C00095	C00095	C1(O)(CO)O[C@@H]([C@@H](O)[C@@H]1O)CO |w:0,a:5,6,8|
C02191	C02191	C12C(=C(C)C(=CC3=NC(C(C)=C3C=C)=CC3=C(C(C)=C(C=C4N=C(C(=C4C)CCC(=O)O)C=1)N3)C=C)N2)CCC(O)=O |c:14,21,t:4,34|
C14818	C14818	[Fe+2]
C00032	C00032	C12C(=C(C)C3=CC4=NC(C(C)=C4C=C)=CC4N([Fe]N13)C(C=C1N=C(C(=C1C)CCC(=O)O)C=2)=C(C=4C=C)C)CCC(O)=O |c:14,23,t:4,36|
C00500	C00500	C1(NC(=C(C)C=1CCC(O)=O)/C=C1\NC(C(C)=C\1C=C)=O)/C=C1\N=C(C(C)=C\1CCC(=O)O)C=C1NC(C(C=C)=C1C)=O |c:36|
C00237	C00237	[O+]#[C-]
C05682	C05682	C(P(=O)(O)O)C(=O)O
C00186	C00186	[C@H](O)(C)C(=O)O
C06244	C06244	C(=O)(N)C
C02132	C02132	C(=O)(C(O)=O)CC(=O)C
C02614	C02614	OC(=O)C[C@@](O)(C)C(=O)O
C02655	C02655	[C@H]1(COC(=O)C)O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O
C00035	C00035	N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
C00144	C00144	C12N=C(NC(=O)C=1N=CN2[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O)N
C00044	C00044	N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O
C01228	C01228	N1(C=NC2C(=O)NC(N)=NC1=2)[C@@H]1O[C@@H]([C@@H](OP(=O)(O)OP(=O)(O)O)[C@H]1O)COP(=O)(O)OP(=O)(O)O
C00394	C00394	N1(C=NC2C(=O)NC(N)=NC1=2)C1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O
C00036	C00036	OC(=O)CC(=O)C(=O)O
C00209	C00209	C(=O)(O)C(=O)O
C00898	C00898	OC(=O)[C@H](O)[C@@H](O)C(=O)O
C02107	C02107	[C@@H](O)(C(=O)O)[C@H](O)C(=O)O
C03961	C03961	OC(=O)[C@@H](N)[C@@H](O)C(=O)O
C02362	C02362	NC(=O)CC(=O)C(=O)O
C04115	C04115	C(=O)(O)C(=O)CC(C(=O)O)(O)CC(=O)O
C00158	C00158	OC(=O)CC(O)(C(=O)O)CC(=O)O
C00049	C00049	OC(=O)[C@@H](N)CC(=O)O
C00402	C00402	[C@H](N)(C(=O)O)CC(=O)O
C00037	C00037	C(=O)(O)CN
C00048	C00048	C(=O)(O)C=O
C00213	C00213	C(NC)C(O)=O
C03790	C03790	[C@@H](C)(C(=O)O)NCC(=O)O
C03508	C03508	[C@@H](N)(C(=O)O)C(=O)C
C00177	C00177	N#[C-]
C03210	C03210	C(=O)(O)C(NC(C)C(=O)O)C
C00133	C00133	OC(=O)[C@H](N)C
C03341	C03341	[C@H](N)(C(O)=O)CC(=O)C
C00042	C00042	OC(=O)CCC(=O)O
C00122	C00122	C(=O)(O)/C=C/C(=O)O
C04348	C04348	C([C@H](O)C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C04593	C04593	[C@H](C(=O)O)(CC(=O)O)[C@](O)(C)C(=O)O
C00164	C00164	C(=O)(C)CC(O)=O
C00332	C00332	C(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C05931	C05931	[C@@H](C(=O)O)(CCC(=O)O)NC(=O)CCC(=O)O
C04501	C04501	[C@@H]1(NC(=O)C)[C@@H](O)[C@@H]([C@@H](CO)O[C@@H]1OP(O)(O)=O)O
C00043	C00043	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2NC(=O)C)CO)O1)O)N1C=CC(=O)NC1=O
C00203	C00203	C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H]([C@H](O)[C@H](O)[C@H]2NC(C)=O)CO)O1)O)N1C=CC(=O)NC1=O
C01170	C01170	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@@H]2NC(=O)C)CO)O1)O)N1C=CC(=O)NC1=O
C04895	C04895	C12N=C(NC(=O)C=1N=C(CN2)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N
C01304	C01304	P(=O)(O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)NC1N=C(NC(=O)C=1N)N
C05922	C05922	C1(N=C(NC(=O)C=1NC=O)N)N[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O
C04494	C04494	N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)OP(=O)(O)OP(=O)(O)O
C00942	C00942	C12N=C(NC(=O)C=1N=CN2[C@@H]1O[C@H]2[C@@H](OP(OC2)(=O)O)[C@H]1O)N
C00047	C00047	[C@@H](N)(C(=O)O)CCCCN
C04092	C04092	C1(C(O)=O)=NCCCC1
C04076	C04076	[C@@H](N)(C(=O)O)CCCC=O
C03239	C03239	C(=O)(C(=O)O)CCCCN
C01028	C01028	ONCCCC[C@H](N)C(=O)O
C00990	C00990	C(C(=O)N)CCCN
C00680	C00680	[C@@H](N)(CCC[C@H](N)C(=O)O)C(=O)O
C04020	C04020	NCCCC[C@H](N[C@H](C)C(=O)O)C(=O)O
C02727	C02727	CC(=O)NCCCC[C@H](N)C(=O)O
C00739	C00739	[C@H](N)(C(=O)O)CCCCN
C01142	C01142	C(C(O)=O)[C@@H](N)CCCN
C01672	C01672	C(CCN)CCN
C02837	C02837	[C@H]1(N)CCCCNC1=O
C00160	C00160	C(=O)(O)CO
C00313	C00313	C(=O)(O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C00603	C00603	NC(=O)N[C@@H](O)C(=O)O
C01127	C01127	C(O)(CC(=O)C(=O)O)C(O)=O
C05946	C05946	[C@@H](O)(CC(=O)C(=O)O)C(=O)O
C03217	C03217	C(=O)(CCC(=O)O)C(O)C(=O)O
C01990	C01990	C(C(=O)O)(C(=O)C(=O)O)C(O)C(=O)O
C03082	C03082	C(=O)(OP(O)(O)=O)C[C@H](N)C(=O)O
C05840	C05840	C(=N)(C(=O)O)CC(=O)O
