P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(CO)OC[C@H](O)[C@@H](O)[C@@H]1O	R05682	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(CO)OCC(=O)[C@@H](O)[C@@H]1O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O	R05683	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.OCC(=O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O	R05684	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.OCC(=O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(CO)C(C)C	R05685	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(C=O)C(C)C
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(CO)C(C)C	R05686	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(C=O)C(C)C
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H]([C@H](O)[C@H](O)[C@H]2O)C)O1)O)N1C=C(C(=O)NC1=O)C	R05687	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C(=O)[C@H](O)[C@H]2O)C)O1)O)N1C=C(C(=O)NC1=O)C
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(O)[C@]([C@H](O)COP(O)(O)=O)(C)O	R05688	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C([C@H]([C@H](O)COP(O)(=O)O)O)(C)=O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(S(O)(=O)=O)CSC[C@H](O)C	R05689	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(S(O)(=O)=O)CSCC(=O)C
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(S(O)(=O)=O)CSC[C@@H](O)C	R05690	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(S(O)(=O)=O)CSCC(=O)C
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)[C@@H](C)[C@]3([H])CC=C21	R05691	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12=CC[C@@]3([H])[C@H](C)C(CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@]([H])(CC[C@@]21[H])[C@]([H])(C)CCCC(C)C)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H]([C@@H](O)[C@@H](O)[C@@H]2O)C)O1)O	R05692	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C(=O)[C@H](O)[C@@H]2O)C)O1)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.OC(=O)[C@@H](CS(O)(=O)=O)O	R05693	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.OC(=O)C(=O)CS(=O)(O)=O
O=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O	R05696	OO.N1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)C=O)C=NC2C(N)=NC=NC1=2
O([H])[H].O=O.N1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)C=O)C=NC2C(N)=NC=NC1=2	R05697	OO.N1([C@@H]2O[C@@H]([C@H]([C@H]2O)O)C(=O)O)C=NC2C(N)=NC=NC1=2
O=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	R05698	OO.[C@H]1(CO)OC([C@@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1(OC)=C(O)C=CC(C=O)=C1	R05699	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1C(C(O)=O)=CC(OC)=C(O)C=1
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1(/C=C/C=O)C=C(OC)C(O)=CC=1	R05700	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1(/C=C/C(=O)O)C=C(OC)C(O)=CC=1
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(/C=C/C=O)C=C(OC)C(O)=CC=1	R05701	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1(/C=C/C(=O)O)C=C(OC)C(O)=CC=1
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12N=CNC=1N=CN=C2NCC[C@H](C)CO	R05702	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12N=CNC=1N=CN=C2NC/C(/[H])=C(\C)/CO
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@]12(CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)C[C@]3([H])CC=C21)[H]	R05703	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@]12([H])CC[C@]([H])([C@]([H])(C)CC/C=C(\C)/C)[C@@]1(C)CCC1[C@@]3(C)CC[C@H](O)C[C@]3([H])CC=C21
N1C(=O)C2NC3C=C(C)C(C)=CC=3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C=2NC1=O.[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O	R05705	[H+].N1C(=O)C2=NC3=CC(C)=C(C)C=C3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C2=NC1=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O
N1C(=O)C2NC3C=C(C)C(C)=CC=3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C=2NC1=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2	R05706	[H+].N1C(=O)C2=NC3=CC(C)=C(C)C=C3N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)O)C2=NC1=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12NC3C(=O)NC(=O)NC=3N(C[C@H](O)[C@@H]([C@@H](CO)O)O)C=1C=C(C)C(C)=C2	R05707	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@@H]([C@@H](CO)O)O)C=1C=C(C)C(C)=C2
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)(C)CC(O)=O.C(CS)S(=O)(=O)O	R05713	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)=O.C(S(O)(=O)=O)CSCC(=O)C
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.OC(=O)[C@@H](N)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O	R05714	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(O)(=O)[C@@H](N)CCC(=O)N[C@@H](CSSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](OP(=O)(O)O)[C@@H](O)[C@@H](O1)N1C=NC2C(N)=NC=NC1=2)C(=O)NCC(=O)O
O=O.C(CCCCCC(=O)O)C/C=C\C/C=C\CCCCC	R05718	[C@H](OO)(/C=C\CCCCC)/C=C\CCCCCCCC(=O)O
O=O.C1=CC=C2C(=O)C(O)=CNC2=C1	R05719	C1(C(=O)O)=CC=CC=C1NC=O.[O+]#[C-]
O=O.C1=CC=C2C(=O)C(O)=C(C)NC2=C1	R05720	[O+]#[C-].C1(C(=O)O)=CC=CC=C1NC(=O)C
O=O.[Cl-]	R05721	Cl(=O)O
O=O.C(=O)(C(=O)O)CCC(O)=O.C([C@@H](C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R05722	C(=O)=O.OC(=O)CCC(=O)O.C(O)([C@@H](C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
O=O.C(=O)(C(=O)O)CCC(O)=O.C12C(O)=CC(O)=CC=1O[C@@H]([C@@H](O)[C@H]2O)C1C=CC(O)=C(O)C=1	R05723	O([H])[H].C(=O)=O.OC(=O)CCC(=O)O.C12C(O)=CC(O)=CC=1O[C@@H]([C@@H](O)C2=O)C1=CC(O)=C(O)C=C1
[H+].O=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.O=[N] |^1:1|	R05724	[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.N(=O)(=O)O
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.O=[N] |^1:1|	R05725	[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N(=O)(=O)O
[H+].O=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C=CC	R05729	O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1O[C@@H]1C
[H+].O=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C=CC	R05730	O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1O[C@H]1C
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C(=O)=O.C(=O)(C)C	R05735	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.C(=O)(C)CC(O)=O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.P([H])(=O)(O)O	R05746	P(=O)(O)(O)O.[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O
C1(CCN)=CC=C(O)C(O)=C1.[C@@]1([H])(C=C)[C@@H](OC=C(C(=O)OC)[C@@]1([H])CC=O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R05749	O([H])[H].[C@@]1(C[C@]2([H])C(C(=O)OC)=CO[C@@H](O[C@H]3[C@H](O)[C@H]([C@H](O)[C@@H](CO)O3)O)[C@]2([H])C=C)(NCCC2C=C(C(O)=CC1=2)O)[H]
C1(CCN)=CC=C(O)C(O)=C1.[C@@]1([H])(C=C)[C@@H](OC=C(C(=O)OC)[C@@]1([H])CC=O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R05750	O([H])[H].[C@]1(C[C@]2([H])C(C(=O)OC)=CO[C@@H](O[C@H]3[C@H](O)[C@H]([C@H](O)[C@@H](CO)O3)O)[C@]2([H])C=C)(NCCC2C=C(C(O)=CC1=2)O)[H]
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C1(O)=C(Cl)C=C(Cl)C=C1Cl	R05754	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C1(Cl)=CC(Cl)=CC(Cl)=C1OC
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.[As]([O-])([O-])[O-]	R05755	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.[As](=O)(O)(O)C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.[As](O)(O)C	R05756	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.[As](=O)(O)(C)C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C12C3C4C=CC=CC=4N4[C@@H]5O[C@@](N6C7C=CC=CC=7C(C=1CNC2=O)=C6C=34)(C)[C@H](O)[C@H](NC)C5	R05757	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C12[N@]3C4=C(C=CC=C4)C=1C1=C(CNC1=O)C1C4=C(C=CC=C4)[N@]([C@@]4(C)OC3C[C@H]([C@H]4OC)NC)C2=1
[C@@H](O)(C(O)=O)[C@H](N)C(=O)O	R05758	N([H])([H])[H].OC(=O)CC(=O)C(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.[C@H]1(C/C=C\CC)C(=O)CC[C@@H]1CC(=O)O	R05759	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.[C@H]1([C@@H](CC(=O)OC)CCC1=O)C/C=C\CC
C(S(O)(=O)=O)CSC[C@H](O)C	R05761	C(CS)S(=O)(=O)O.C1O[C@@H]1C
C(S(O)(=O)=O)CSC[C@@H](O)C	R05762	C(CS)S(=O)(=O)O.C1O[C@H]1C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C(/C(=O)O)(=C(/[H])\C(=O)O)\CC(=O)O	R05763	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.OC(=O)/C=C(\CC(O)=O)/C(OC)=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C(/C(=O)O)(=C(/[H])\C(=O)O)\CC(=O)O	R05764	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.OC(=O)/C=C(\CC(OC)=O)/C(O)=O
O(C/C=C(\C)/CC/C=C(\C)/C)P(=O)(O)OP(=O)(O)O	R05765	P(=O)(O)(O)OP(=O)(O)O.[C@@H]12C(C)=CC[C@@H](C1)C2(C)C
O(C/C=C(\C)/CC/C=C(\C)/C)P(=O)(O)OP(=O)(O)O	R05766	P(=O)(O)(O)OP(=O)(O)O.[C@@H]12C(=C)CC[C@@H](C1)C2(C)C
P(=O)(O)(O)O.[C@H]1([C@H](O)[C@H]([C@H](O)[C@@H](COP(=O)(O)O)O1)O)O[C@@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R05767	P(=O)(O)(O)OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:6,9,11,13,w:8|.[C@H]1(OP(=O)(O)O)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O.P(=O)(O)(O)OC[C@@H](O)C(=O)O	R05768	N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(OC(COP(O)(=O)O)C(O)=O)O[C@H](CO)[C@H]([C@H](O)[C@@H]1O)O
