OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.COC1=CC(=CC=C1O)/C=C/C=O	R06572	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.COC1=C(C(=CC(=C1)/C=C/C=O)O)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.COC1=CC(=CC=C1O)/C=C/CO	R06573	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.COC1=C(C(=CC(=C1)/C=C/CO)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(=C\C1=CC=C(C(=C1)O)O)/C=O	R06574	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC=C1O)/C=C/C=O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(=C\C1=CC=C(C(=C1)O)O)/CO	R06575	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC=C1O)/C=C/CO
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.COC1=C(C(=CC(=C1)/C=C/C=O)O)O	R06576	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC(=C1O)OC)/C=C/C=O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.COC1=C(C(=CC(=C1)/C=C/CO)O)O	R06577	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC(=C1O)OC)/C=C/CO
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.COC1=C(C(=CC(=C1)/C=C/C(=O)[O-])O)O	R06578	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC(=C1O)OC)/C=C/C(=O)[O-]
C(=C\C1=CC=C(C=C1)O)/C=O	R06579	C(=C\C1=CC=C(C(=C1)O)O)/C=O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[OH-].COC1=C(C(=CC(=C1)/C=C/C(=O)O)O)O	R06583	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.COC1=C(C(=CC(=C1)/C=C/C(=O)[O-])O)O
C(CC(=O)O)[C@@H](C(=O)O)N.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H](C(=O)[C@@H]([C@@H](CO)O3)O)O)O2)O)O)C(=O)NC1=O	R06586	C(CC(=O)O)C(=O)C(=O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)N)O)O2)O)O)C(=O)NC1=O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)N)O)O	R06588	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)N)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)N)O)OP(=O)(O)O	R06589	C([C@@H]1[C@H]([C@@H](C(CO)(O)O1)N)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@H](C(O)O1)O)O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H](C(CO)(O)O1)N)O)OP(=O)(O)O	R06590	C(C(=O)[C@H]([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O.C(=N)[C@@H]([C@@H](COP(=O)(O)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O	R06594	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H](C(=O)[C@@H]([C@@H](CO)O3)O)O)O2)O)O)C(=O)NC1=O
C1C(=CC(=O)[C@H]([C@@H]1N)O)C(=O)O	R06595	O.C1=C(C=C(C=C1C(=O)O)O)N
O.C12=NC(=O)NC(=O)C1(NC(=N2)O)O	R06601	C1(=NC(=O)NC1(C(=O)O)O)NC(=O)N
C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1O)C(=O)O	R06602	CC(=O)C(=O)O.C1=CC(=C(C=C1)O)C(=O)O
C1(=NC(=O)NC1(C(=O)O)O)NC(=O)N	R06604	C(=O)=O.[C@H]1(C(=O)NC(=O)N1)NC(=O)N
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(C=CC(=C1)O)[C@@H]2CC(=O)C3=C(C=C(C=C3O)O)O2	R06610	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(C=CC(=C1)O)[C@@H]2CC(C3=C(C=C(C=C3O)O)O2)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O)O	R06611	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(C=CC(=C1)N2C[C@H]3CNC4=C(C(=O)NC(=N4)N)N3C2)C(=O)NC(CCC(=O)O)C(=O)O.C1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)O)O2)O)C(=O)NC1=O	R06613	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(C=CC(=C1)NC[C@H]2CNC3=C(C(=O)NC(=N3)N)N2)C(=O)N[C@@H](CCC(=O)O)C(=O)O.CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)O)O2)O)C(=O)NC1=O
C(C#N)[C@@H](C(=O)O)N	R06614	C(=O)=O.C(CN)C#N
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(C=CC(=C1)O)[C@@H]2[C@H]([C@H](C3=C(C=C(C=C3O)O)O2)O)O	R06615	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1=C(C=CC(=C1)O)[C@@H]2[C@H](CC3=C(C=C(C=C3O)O)O2)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1CC[C@H]([C@H](C1)O)O	R06621	C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1CCC(=O)C(C1)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1CCC(=O)C(C1)O	R06622	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C1CCOC(=O)C(C1)O
O=O.C1=C(C=C(C=C1CC(=O)[O-])O)O	R06624	[OH-].C1=C(C=C(C=C1C(=O)C(=O)O)O)O
C1=C(C=CC(=C1)O)C[C@@H](C(=O)O)N.C1=C(C=CC(=C1)O)C(=O)C(=O)O	R06626	C1=C(C=CC(=C1)O)CC(=O)C(=O)O.C1=C(C=CC(=C1)O)[C@@H](C(=O)O)N
CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@@](C)(C(=O)[C@@H](C)O3)N)O2)O)C(=O)NC1=O	R06628	CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@@](C)(C(=O)[C@H](C)O3)N)O2)O)C(=O)NC1=O
C(CC(=O)O)[C@@H](C(=O)O)N.CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3CC(=O)C(=O)[C@@H](C)O3)O2)O)C(=O)NC1=O	R06631	C(CC(=O)O)C(=O)C(=O)O.CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@H](C(=O)[C@@H](C)O3)N)O2)O)C(=O)NC1=O
O=O.C1=C(C=CC(=C1)O)CC(=O)C(=O)O	R06632	C(=O)=O.C1=C(C=CC(=C1)O)[C@@H](C(=O)O)O
O=O.C1=C(C=CC(=C1)O)[C@@H](C(=O)O)O	R06633	OO.C1=C(C=CC(=C1)O)C(=O)C(=O)O
C(CC(=O)O)C(=O)C(=O)O.C1=C(C=C(C=C1[C@@H](C(=O)O)N)O)O	R06634	C(CC(=O)O)[C@@H](C(=O)O)N.C1=C(C=C(C=C1C(=O)C(=O)O)O)O
C[C@H]1[C@H](CC[C@@H](O1)O[C@@H]2C[C@H](C3=CC=C4C(=C3O)C(=O)C5=CC=C6C[C@](C)(CC(=O)C6=C5C4=O)O)O[C@H](C)[C@H]2O)O.CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@H]([C@@H]([C@@H](C)O3)O)O)O2)O)C(=O)NC1=O	R06660	CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)C(=O)NC1=O.C[C@H]1[C@H](CC[C@@H](O1)O[C@@H]2C[C@H](C3=CC=C4C(=C3O)C(=O)C5=CC=C6C[C@](C)(CC(=O)C6=C5C4=O)O)O[C@H](C)[C@H]2O)O[C@H]7C[C@H]([C@@H]([C@@H](C)O7)O)O
CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@H]([C@@H]([C@@H](C)O3)O)O)O2)O)C(=O)NC1=O.C[C@H]1[C@H](CC[C@@H](O1)O[C@@H]2C[C@H](C3=CC=C4C(=C3O)C(=O)C5=C(C4=O)[C@]6(C(=O)C[C@@](C)(C[C@]6(C=C5)O)O)O[C@H]7CC[C@@H]([C@H](C)O7)O)O[C@H](C)[C@H]2O)O	R06668	CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)C(=O)NC1=O.C[C@H]1[C@H](CC[C@@H](O1)O[C@@]23C(=O)C[C@@](C)(C[C@]3(C=CC4=C2C(=O)C5=CC=C([C@H]6C[C@H]([C@@H]([C@@H](C)O6)O)O[C@H]7CC[C@@H]([C@H](C)O7)O[C@H]8C[C@H]([C@@H]([C@@H](C)O8)O)O)C(=C5C4=O)O)O)O)O
CC[C@H](C)[C@H]1C(=O)O[C@H]2C3=CC(=CC(=C3C4=C(C(=O)C5=C(C=CC=C5C4=O)O)N12)O)C	R06670	CC[C@H](C)[C@H]1C(=O)O[C@H]2C3=CC(=CC(=C3C4=C(C(=O)C5=C(C=CC=C5C4=O)O[C@H]6C[C@H]([C@H]([C@H](C)O6)O)O)N12)O)C
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.CC(=O)CC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C=CC=C3C2=O)O)CC(=O)O	R06675	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CC(=O)CC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C=CC=C3C2=O)O)CC(=O)OC
CC(=O)CC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C=CC=C3C2=O)O)CC(=O)OC	R06676	C[C@]1(CC(=O)C2=C(C=C3C(=C2O)C(=O)C4=C(C=CC=C4C3=O)O)C1C(=O)OC)O
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@]1(CC(=O)C2=C(C=C3C(=C2O)C(=O)C4=C(C=CC=C4C3=O)O)C1C(=O)OC)O	R06677	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@]1(C[C@@H](C2=C(C=C3C(=C2O)C(=O)C4=C(C=CC=C4C3=O)O)[C@H]1C(=O)OC)O)O
O=O.CCC(=O)CC(=O)C1=C(C2=C(CC3=CC=CC(=C3C2=O)O)C=C1CC(=O)O)O	R06679	O.CCC(=O)CC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C=CC=C3C2=O)O)CC(=O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.CCC(=O)CC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C=CC=C3C2=O)O)CC(=O)O	R06680	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CCC(=O)CC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C=CC=C3C2=O)O)CC(=O)OC
CCC(=O)CC(=O)C1=C(C=C2C(=C1O)C(=O)C3=C(C=CC=C3C2=O)O)CC(=O)OC	R06681	CC[C@]1(CC(=O)C2=C(C=C3C(=C2O)C(=O)C4=C(C=CC=C4C3=O)O)[C@H]1C(=O)OC)O
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC[C@]1(CC(=O)C2=C(C=C3C(=C2O)C(=O)C4=C(C=CC=C4C3=O)O)[C@H]1C(=O)OC)O	R06682	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC[C@]1(C[C@@H](C2=C(C=C3C(=C2O)C(=O)C4=C(C=CC=C4C3=O)O)[C@H]1C(=O)OC)O)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC[C@]1(C[C@@H](C2=C(C=C3C(=C2O)C(=O)C4=C(C=CC=C4C3=O)O)[C@H]1C(=O)OC)O)O	R06683	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC[C@]1(C[C@@H](C2=C(C3=C(C(=O)C4=CC=CC(=C4C3=O)O)C(=C2[C@H]1C(=O)OC)O)O)O)O
CC[C@]1(C[C@@H](C2=C(C3=C(C(=O)C4=CC=CC(=C4C3=O)O)C(=C2[C@H]1C(=O)OC)O)O)O)O.CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@@H]([C@@H]([C@H](C)O3)O)N)O2)O)C(=O)NC1=O	R06684	CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)C(=O)NC1=O.CC[C@]1(C[C@@H](C2=C(C3=C(C(=O)C4=CC=CC(=C4C3=O)O)C(=C2[C@H]1C(=O)OC)O)O)O[C@H]5C[C@@H]([C@@H]([C@H](C)O5)O)N)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.CC[C@@]1(CC2=C(C3=C(C(=O)C4=C(C=CC=C4C3=O)O)C(=C2[C@H](C1)O[C@H]5C[C@@H]([C@@H]([C@H](C)O5)O)N)O)O)O	R06687	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CC[C@@]1(CC2=C(C3=C(C(=O)C4=C(C=CC=C4C3=O)OC)C(=C2[C@H](C1)O[C@H]5C[C@@H]([C@@H]([C@H](C)O5)O)N)O)O)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC[C@@]1(CC2=C(C3=C(C(=O)C4=C(C=CC=C4C3=O)OC)C(=C2[C@H](C1)O[C@H]5C[C@@H]([C@@H]([C@H](C)O5)O)N)O)O)O	R06688	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)OC)C(=C32)O)O)(C(C)O)O)N)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)OC)C(=C32)O)O)(C(C)O)O)N)O	R06689	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)OC)C(=C32)O)O)(C(=O)C)O)N)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)OC)C(=C32)O)O)(C(=O)C)O)N)O	R06690	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)OC)C(=C32)O)O)(C(=O)CO)O)N)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC[C@@]1(CC2=C(C3=C(C(=O)C4=C(C=CC=C4C3=O)O)C(=C2[C@H](C1)O[C@H]5C[C@@H]([C@@H]([C@H](C)O5)O)N)O)O)O	R06691	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)O)C(=C32)O)O)(C(C)O)O)N)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)O)C(=C32)O)O)(C(C)O)O)N)O	R06692	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)O)C(=C32)O)O)(C(=O)C)O)N)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)O)C(=C32)O)O)(C(=O)C)O)N)O	R06693	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=O)C5=C(C=CC=C5C4=O)OC)C(=C32)O)O)(C(=O)C)O)N)O
CC(=O)C1=C(C2=C(C3=C(C=C(C=C3C=C2C=C1/C=C(\CC(=O)O)/O)O)O)O)O	R06699	O.CC1=C(C(=CC2=CC3=C(C(=C12)O)C(=O)C4=C(C3)C=C(C=C4O)O)O)C(=O)O
O=O.CC1=C(C(=CC2=CC3=C(C(=C12)O)C(=O)C4=C(C3)C=C(C=C4O)O)O)C(=O)O	R06700	O.CC1=C(C(=CC2=C1C(=C3C(=C2)C(=O)C4=CC(=CC(=C4C3=O)O)O)O)O)C(=O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.CC1=C(C(=CC2=C1C(=C3C(=C2)C(=O)C4=CC(=CC(=C4C3=O)O)OC)O)OC)C(=O)O	R06703	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CC1=C(C(=CC2=C1C(=C3C(=C2)C(=O)C4=CC(=CC(=C4C3=O)O)OC)O)OC)C(=O)OC
