bt	direction	reaction	envipath_url
3673	f	1394	R02373
3568	f	1397	R02377
2218	f	1401	R02381
3673	f	1408	R02395
1196	f	1412	R02401
3673	f	1423	R02413
3806	f	1426	R02417
3564	f	1429	R02423
4013	f	1430	R02425
2218	f	1432	R02427
2218	f	1433	R02428
4164	f	1444	R02449
2982	f	1445	R02450
3938	f	1451	R02457
3568	f	1454	R02462
3501	f	1457	R02466
3651	f	1458	R02467
3568	f	1459	R02471
3673	f	1460	R02472
4013	f	1462	R02474
3673	f	1463	R02476
3673	f	1464	R02477
3151	f	1472	R02489
1196	f	1481	R02506
4011	f	1483	R02509
3381	f	1486	R02514
3707	f	1487	R02515
3381	f	1488	R02516
3707	f	1489	R02517
2218	f	1495	R02526
3673	f	1496	R02527
3938	f	1498	R02529
3673	f	1500	R02531
3938	f	1501	R02532
1196	f	1504	R02536
1196	f	1505	R02537
3456	f	1507	R02540
3673	f	1512	R02548
1196	f	1513	R02549
3673	f	1516	R02553
4150	f	1517	R02554
2675	f	1522	R02561
2675	f	1523	R02562
4271	f	1525	R02564
1196	f	1526	R02565
1196	f	1527	R02566
3568	f	1534	R02577
3673	f	1535	R02580
3673	f	1536	R02581
4141	f	1537	R02587
3707	f	1538	R02589
4141	f	1540	R02591
3568	f	1541	R02593
3568	f	1553	R02611
3938	f	1554	R02613
3026	f	1555	R02615
3938	f	1556	R02618
3673	f	1562	R02637
3673	f	1563	R02639
3673	f	1564	R02640
4141	f	1567	R02648
1196	f	1569	R02655
3151	f	1578	R02669
3573	f	1580	R02672
4141	f	1583	R02677
1196	f	1584	R02678
3568	f	1585	R02679
3568	f	1586	R02680
1196	f	1587	R02681
3673	f	1588	R02683
3673	f	1589	R02684
1196	f	1590	R02695
1196	f	1591	R02697
4215	f	1592	R02698
3501	f	1595	R02701
3456	f	1602	R02712
2218	f	1603	R02714
3673	f	1604	R02715
4141	f	1605	R02719
4141	f	1606	R02720
4141	f	1611	R02730
4141	f	1612	R02731
4013	f	1614	R02733
4013	f	1615	R02734
3673	f	1617	R02736
4141	f	1624	R02750
3938	f	1627	R02755
1196	f	1628	R02762
3673	f	1634	R02776
3673	f	1635	R02777
4141	f	1636	R02778
3673	f	1642	R02792
3673	f	1643	R02793
4013	f	1645	R02797
3673	f	1646	R02799
3673	f	1647	R02800
4141	f	1648	R02805
4141	f	1653	R02817
3707	f	1655	R02830
3151	f	1656	R02831
3673	f	1657	R02832
3673	f	1658	R02834
3673	f	1659	R02836
4141	f	1668	R02853
3673	f	1669	R02855
4141	f	1677	R02866
3568	f	1682	R02877
3568	f	1683	R02878
3938	f	1695	R02908
3938	f	1701	R02919
3938	f	1705	R02923
4013	f	1711	R02930
2218	f	1714	R02933
3456	f	1718	R02938
1196	f	1719	R02940
1196	f	1720	R02941
2218	f	1721	R02942
3673	f	1723	R02944
3673	f	1724	R02945
3673	f	1725	R02946
3573	f	1726	R02948
3501	f	1726	R02948
3673	f	1735	R02969
3501	f	1738	R02972
4013	f	1739	R02973
3673	f	1741	R02975
3673	f	1743	R02978
2218	f	1753	R02992
3673	f	1754	R02994
4150	f	1755	R02995
4141	f	1760	R03004
3568	f	1762	R03012
4141	f	1763	R03013
3673	f	1766	R03021
3673	f	1767	R03022
4215	f	1768	R03023
2854	f	1769	R03024
2218	f	1777	R03034
4141	f	1779	R03036
3361	f	1780	R03037
3568	f	1782	R03043
3568	f	1786	R03048
2218	f	1787	R03049
4013	f	1793	R03055
2218	f	1798	R03062
2218	f	1800	R03064
3568	f	1809	R03080
4215	f	1813	R03088
4215	f	1815	R03090
4292	f	1817	R03093
3456	f	1820	R03096
1196	f	1823	R03102
1196	f	1824	R03103
3673	f	1825	R03104
3673	f	1828	R03114
3568	f	1829	R03119
3673	f	1830	R03123
3938	f	1840	R03139
3673	f	1845	R03155
2982	f	1852	R03171
3673	f	1853	R03176
1196	f	1854	R03177
3456	f	1856	R03180
3568	f	1859	R03183
3673	f	1860	R03184
4013	f	1861	R03187
1196	f	1868	R03198
3938	f	1871	R03202
3577	f	1875	R03211
3211	f	1878	R03216
3673	f	1883	R03226
3673	f	1884	R03227
