auto_transient	compound	isproduct	rclass	reaction	stoichn	stoichn_corr
False	C00080	True	False	R00093	1	1
False	C00051	False	True	R00094	2	2
False	C00003	False	True	R00094	1	1
False	C00127	True	True	R00094	1	1
False	C00004	True	True	R00094	1	1
False	C00080	True	False	R00094	1	1
False	C00003	False	True	R00095	1	1
False	C00072	False	False	R00095	2	2
False	C00004	True	True	R00095	1	1
False	C01041	True	False	R00095	2	2
False	C00080	True	False	R00095	1	1
False	C00003	False	True	R00099	1	1
False	C00853	False	True	R00099	2	2
False	C00004	True	True	R00099	1	1
False	C00080	True	False	R00099	1	1
False	C00541	True	True	R00099	2	2
False	C00004	False	True	R00100	1	1
False	C00996	False	False	R00100	2	2
False	C00003	True	True	R00100	1	1
False	C00999	True	False	R00100	2	2
False	C00080	True	False	R00100	1	1
False	C00004	False	True	R00101	1	1
False	C02683	False	False	R00101	2	2
False	C00003	True	True	R00101	1	1
False	C02685	True	False	R00101	2	2
False	C00080	True	False	R00101	1	1
False	C00003	False	True	R00103	1	1
False	C00001	False	False	R00103	1	1
False	C00020	True	True	R00103	1	1
False	C00455	True	False	R00103	1	1
False	C00002	False	True	R00104	1	1
False	C00003	False	True	R00104	1	1
False	C00008	True	True	R00104	1	1
False	C00006	True	True	R00104	1	1
False	C00002	False	True	R00105	1	1
False	C00004	False	True	R00105	1	1
False	C00008	True	True	R00105	1	1
False	C00005	True	True	R00105	1	1
False	C00005	False	True	R00106	1	1
False	C00923	False	False	R00106	2	2
False	C00006	True	True	R00106	1	1
False	C00924	True	False	R00106	2	2
False	C00080	True	False	R00106	1	1
False	C00005	False	True	R00108	1	1
False	C00997	False	False	R00108	2	2
False	C00006	True	True	R00108	1	1
False	C01000	True	False	R00108	2	2
False	C00080	True	False	R00108	1	1
False	C00005	False	True	R00109	1	1
False	C02683	False	False	R00109	2	2
False	C00006	True	True	R00109	1	1
False	C02685	True	False	R00109	2	2
False	C00080	True	False	R00109	1	1
False	C00005	False	True	R00111	1	1
False	C05933	False	True	R00111	2	2
False	C00007	False	False	R00111	2	2
False	C00080	False	False	R00111	1	1
False	C00006	True	True	R00111	1	1
False	C00533	True	True	R00111	2	2
False	C00327	True	True	R00111	2	2
False	C00001	True	False	R00111	2	2
False	C00005	False	False	R00112	1	1
False	C00003	False	True	R00112	1	1
False	C00006	True	False	R00112	1	1
False	C00004	True	True	R00112	1	1
False	C00027	False	False	R00113	1	1
False	C00005	False	True	R00113	1	1
False	C00080	False	False	R00113	1	1
False	C00006	True	True	R00113	1	1
False	C00001	True	False	R00113	2	2
False	C00025	False	True	R00114	2	2
False	C00006	False	True	R00114	1	1
False	C00064	True	True	R00114	1	1
False	C00026	True	True	R00114	1	1
False	C00005	True	True	R00114	1	1
False	C00080	True	False	R00114	1	1
False	C00051	False	True	R00115	2	2
False	C00006	False	True	R00115	1	1
False	C00127	True	True	R00115	1	1
False	C00005	True	True	R00115	1	1
False	C00080	True	False	R00115	1	1
False	C00006	False	True	R00118	1	1
False	C00001	False	False	R00118	1	1
False	C00009	True	True	R00118	1	1
False	C00003	True	True	R00118	1	1
False	C00006	False	True	R00119	1	1
False	C00253	False	False	R00119	1	1
False	C00153	True	True	R00119	1	1
False	C13051	True	False	R00119	1	1
False	C00007	False	True	R00120	1	1
False	C00051	False	True	R00120	2	2
False	C00127	True	True	R00120	1	1
False	C00027	True	True	R00120	1	1
False	C00008	False	True	R00122	1	1
False	C00001	False	False	R00122	1	1
False	C00020	True	True	R00122	1	1
False	C00009	True	False	R00122	1	1
False	C00008	False	True	R00123	1	1
False	C00001	False	False	R00123	1	1
False	C00104	True	True	R00123	1	1
False	C00014	True	False	R00123	1	1
True	C00002	False	True	R00124	1	0
True	C00008	False	True	R00124	1	0
True	C00008	True	True	R00124	1	0
True	C00002	True	True	R00124	1	0
False	C01260	False	True	R00125	1	1
False	C00001	False	False	R00125	1	1
False	C00008	True	True	R00125	2	2
False	C00008	False	True	R00126	1	1
False	C00002	False	True	R00126	1	1
False	C00009	True	False	R00126	1	1
False	C01260	True	True	R00126	1	1
False	C00002	False	True	R00127	1	1
False	C00020	False	False	R00127	1	1
False	C00008	True	True	R00127	2	2
False	C03483	False	True	R00128	1	1
False	C00001	False	False	R00128	1	1
False	C00002	True	True	R00128	1	1
False	C00009	True	False	R00128	1	1
False	C00002	False	True	R00129	1	1
False	C04856	False	True	R00129	1	1
False	C00008	True	True	R00129	1	1
False	C00009	True	False	R00129	1	1
False	C00004	True	True	R00129	1	1
False	C00002	False	True	R00130	1	1
False	C00882	False	True	R00130	1	1
False	C00008	True	True	R00130	1	1
False	C00010	True	True	R00130	1	1
False	C00086	False	True	R00131	1	1
False	C00001	False	False	R00131	1	1
False	C00011	True	True	R00131	1	1
False	C00014	True	True	R00131	2	2
False	C01353	False	True	R00132	1	1
False	C00011	True	True	R00132	1	1
False	C00001	True	False	R00132	1	1
False	C00058	False	True	R00134	1	1
False	C00006	False	True	R00134	1	1
False	C00011	True	True	R00134	1	1
False	C00005	True	True	R00134	1	1
False	C00080	True	False	R00134	1	1
True	C00012	False	False	R00135	1	0
False	C00001	False	False	R00135	1	1
False	C00148	True	False	R00135	1	1
True	C00012	True	False	R00135	1	0
False	C00002	False	False	R00137	1	1
False	C00455	False	True	R00137	1	1
False	C00013	True	False	R00137	1	1
False	C00003	True	True	R00137	1	1
False	C00536	False	False	R00138	1	1
False	C00001	False	False	R00138	1	1
False	C00013	True	False	R00138	1	1
False	C00009	True	False	R00138	1	1
False	C11038	False	False	R00139	1	1
False	C00002	False	True	R00139	1	1
False	C11039	True	False	R00139	1	1
False	C00008	True	True	R00139	1	1
False	C11038	False	False	R00140	1	1
False	C00008	False	True	R00140	1	1
False	C03997	True	False	R00140	1	1
False	C00002	True	True	R00140	1	1
