bt	direction	reaction	envipath_url
4215	f	217	252f2d2e-1d71-4c25-94ea-f503f883f4ca
3938	f	218	254d94bf-316b-4b76-8d01-16cfdeae529f
2032	f	219	25c5b499-6c90-4b46-9f8a-201f2cc8e6c8
3800	f	220	260abeec-26f7-470c-9bfc-6602edf4d653
3800	f	221	26695429-ca3e-4308-98a9-95f72619b63d
3717	f	223	26b10640-c065-4bd8-b480-a66203c3c444
4215	f	225	26d21a61-c580-43b8-9d65-d28cbc064151
3859	f	227	276cad8a-0a97-428e-bedb-bf07a27a40a5
4180	f	229	27c64345-70d5-4992-8905-9a78dfdac543
3673	f	230	27c87d65-bae4-45a6-ae80-23f4d9495c59
232	f	235	2849bd3e-1822-482a-9df8-0d1b6a7a9630
4301	f	237	293e3128-e488-4e90-a09f-54637f1cd2c1
3938	f	237	293e3128-e488-4e90-a09f-54637f1cd2c1
3151	f	239	29f092b6-8083-4425-8d44-95875141028b
1196	f	241	2aad135e-d0d8-45e4-9b5e-9bc2d245b362
3591	f	242	2ada7e02-b938-48c6-b490-a185f23c2e21
3863	f	243	2adaa9d4-2531-4bef-8493-4268aebe0100
2811	f	244	2aea35ec-88a3-45fb-85a7-e0fdf7475487
2218	f	245	2afe992f-c4c6-481c-aa23-270cf0e2abae
4298.2	f	246	2b18848a-204b-4576-bf4b-857d05fdd620
1196	f	247	2b40f528-4d53-4679-af97-d3ea59b7cd87
1196	f	248	2b6bbcc5-77f4-4bed-92a9-731cdc978f6a
4224.1	f	250	2b84e682-0cf1-4159-90c4-4bd4842d0f32
4141	f	255	2cd4c01b-d4f2-4173-9ccc-b33a5f173322
4282	f	257	2d020020-2e34-4aaa-81f6-c0ea5ad9d67e
3674	f	258	2d0fa936-529e-4e5a-997f-80da9c057946
1196	f	259	2d50d060-66ee-4986-937a-917928fe9d62
3673	f	262	2d7bebe0-f23a-4297-b594-214bcbc5c30b
2690.3	f	263	2d92cb28-ad90-4aee-9f40-eb54c03cc101
2690.2	f	263	2d92cb28-ad90-4aee-9f40-eb54c03cc101
3938	f	266	2e510a7b-c128-4416-8c03-7a8497e760c2
1196	f	267	2e527fa0-3d76-4de3-a53a-d31cd70d5d17
3674	f	268	2e6dab09-a06d-476d-b10d-32ede699897e
4301	f	273	2eea5401-bb31-4654-b7fa-eb5784103e4f
3938	f	273	2eea5401-bb31-4654-b7fa-eb5784103e4f
232	f	274	2efe403a-c453-4433-8120-de3d19656225
4215	f	277	2fb5314b-a7f2-47b6-af2d-fdfa5d2ca54b
3542	f	278	300bf0f4-f661-402c-8ebb-001fa34fa058
3580	f	279	3042af6b-e681-4919-9936-d9898ce2fc82
3670	f	281	30c0fbbf-a761-4cb7-8bcc-6c6a5315e4f7
4312	f	281	30c0fbbf-a761-4cb7-8bcc-6c6a5315e4f7
2690.1	f	281	30c0fbbf-a761-4cb7-8bcc-6c6a5315e4f7
3667	f	281	30c0fbbf-a761-4cb7-8bcc-6c6a5315e4f7
3568	f	284	31542e56-debd-4d28-a6f8-eeed0e28b153
3859	f	288	32274a2b-8347-4f74-9dd7-44fe742713dd
3674	f	289	32aafc4f-b1a1-4c3a-b997-fd55e54bf3a5
3151	f	291	32db12fc-8ba6-43c4-bfd4-3b198ed3e8d1
3803	f	292	32de5d25-962c-45ec-999a-68250d2d9796
3456	f	293	33478d6c-12bb-4b41-b5af-0725912c13e5
3670	f	294	33578b0d-7a8f-4de8-9c63-935f1a277117
2690.1	f	294	33578b0d-7a8f-4de8-9c63-935f1a277117
3667	f	294	33578b0d-7a8f-4de8-9c63-935f1a277117
3861	f	298	3409e288-b5d4-40b5-915a-706021b136e0
3938	f	299	3411c358-2736-4be1-b0b1-e47fd3de1220
4013	f	300	354bb6c5-6de7-4e2a-ab4b-1f3a3f18b1b1
3745	f	301	3563c1c9-8d70-4c14-a493-4580adccbd9f
1382	f	302	3590435c-9ccd-4f6f-94e7-d45261084bff
4149	f	304	3671cacf-4347-4ffe-9c8f-cafe3e8e3b0f
4082	f	306	3761294d-e916-48e6-a67b-e7921145e465
2448	f	306	3761294d-e916-48e6-a67b-e7921145e465
3469.1	f	307	37b7c78b-e89a-41d4-a150-c6667545dd2a
2685	f	307	37b7c78b-e89a-41d4-a150-c6667545dd2a
3577	f	308	37c49e0a-e299-437e-b6bd-80a41312ba88
3553	f	308	37c49e0a-e299-437e-b6bd-80a41312ba88
2690.3	f	309	37cacca0-0ec6-4e21-a522-8ca89c8a1d26
2690.2	f	309	37cacca0-0ec6-4e21-a522-8ca89c8a1d26
3341	f	310	37ef7b86-b98b-4855-8375-7b58a4aef5c4
4224.1	f	311	37ff055c-4af1-4e6f-91c0-802a0da03eef
4149	f	313	38676d17-ab8d-462f-87ab-999276a3af09
3673	f	314	386b7256-ac47-4db9-a78f-e183157238b9
3859	f	315	38ceab3b-c2de-43ec-a335-13f9343869a0
3673	f	317	39173451-5c62-442a-a87d-a7601a5e8c35
1196	f	319	393ecc36-03fe-4a58-8ba9-1bcafe5cc157
3151	f	320	3992f37b-00b7-4cdf-91d7-489c7ce35843
4276	f	320	3992f37b-00b7-4cdf-91d7-489c7ce35843
4301	f	321	39a80d10-bfb2-4f18-9f78-db3f608a7bcb
2451	f	322	39f2b7be-20af-4fc8-b245-d95471319f76
4013	f	327	3a748ee1-4525-453f-8f6b-0cd95913b33b
4011	f	328	3afc03af-ebab-4d6f-972b-f45816b31c42
3859	f	331	3baf7445-6b4b-4f73-99e0-30bff212d866
2690.3	f	333	3bf1a2be-327b-4f23-aaea-ea07d8e514b3
2690.2	f	333	3bf1a2be-327b-4f23-aaea-ea07d8e514b3
2218	f	334	3c1e2eb9-377a-4a9f-b322-ccc8db7eaedc
3867	f	336	3c4400df-68c3-449c-8e1f-1c9ab09f4ffb
3666	f	338	3cb37765-2226-48f0-b2e8-b4f5924ff7de
3718	f	340	3d06f3b6-f2ac-4d4d-89b7-3785c9eef6d2
4217	f	341	3d892684-dd7a-4c88-b618-3965ecb5c303
4215	f	342	3da38e14-b94b-4e2c-8a5d-1cd4421c27c9
2992	f	343	3dae8974-82fa-4354-8049-5dcd36763b5b
1196	f	344	3dc0adbf-4396-498f-b1c7-af08f431d9fb
4301	f	348	3e1170be-593c-40aa-9629-5f6c0aa1a73e
2690.3	f	351	3e5c9b58-9d89-4172-ac73-69e74912256e
2690.2	f	351	3e5c9b58-9d89-4172-ac73-69e74912256e
4164	f	352	3e67b20c-f420-435b-a3f7-a3b819fe1fcd
3855.4	f	353	3e7df7e5-6d6c-47b2-bcb6-61a36c1561be
3564	f	355	3ea6bcef-a5cf-45b5-98b2-d2554386aa2d
3859	f	356	3eace142-072e-47bd-8bf3-40e531f419a4
2218	f	357	3f51a487-1955-4e01-a61e-d464fc3f289e
3674	f	360	40334cb7-ca57-42a5-91fd-bb49efef9710
4171	f	362	407a5f83-db46-4ccc-b86e-92888158f361
4310	f	363	4091c5d9-cf81-4ab9-a583-a3c2905fc1b6
3707	f	364	4093bf4c-2a6e-434f-a78c-70de1a416c21
4170	f	365	40a23e9e-fc28-4435-97d7-732bdcace964
3769	f	366	40a75250-e89f-42ec-86d6-f80eeb5df753
4011	f	367	40e013f4-33e3-4f16-9cf4-da67b4f8c2d0
3674	f	368	411c7bc9-20e1-4c88-8a83-487122c2007e
4062	f	370	41784833-3d46-4484-a0f8-3cb3cd20671d
1196	f	372	41b2559f-bd0b-4dc7-be52-4be3cb07d369
2173	f	374	41d361ad-1694-481d-a649-885d99663cd2
4173	f	375	41e1063d-4c41-403a-bba5-48b12604e8cc
4141	f	378	42278375-c1b0-49ea-9203-827969060c93
3858	f	381	432335ef-bd1f-4834-8d17-84afbd6a75a9
1367	f	382	436d76b6-7757-4909-91ce-87bd60bb5b4e
4171	f	385	439a59ed-4236-4af5-b699-7e928167ff02
4300	f	386	43a769ef-c961-4ccf-a8c1-34e6c7c8c2bc
3859	f	389	44abb930-2435-4317-be82-16f6f0679e97
3668	f	390	44b6f3bc-e3f6-4707-af2c-17d5f2527e0d
3647	f	391	44f642a7-e76f-4df4-b15c-487d57b09147
3595	f	392	45353841-cbfc-45e2-9f7a-1f5fc3465ac2
2690.3	f	394	45fcac19-3ada-402f-bf63-2a337e61619c
2690.2	f	394	45fcac19-3ada-402f-bf63-2a337e61619c
4013	f	395	460cac4a-2736-49c7-b466-5d555bf6606b
3568	f	397	463cc79d-e9c0-4a50-b19c-915e81fabd14
3938	f	398	465bba4d-69ed-4321-97a7-45edd777044e
3257	f	401	471c984a-3504-4b3b-b15f-6a3e9dfaf78d
1196	f	404	475889f4-a7df-44d7-9123-dc205a0f0dff
3673	f	405	477507cc-bf3c-4d7b-8b90-5d43058480c4
3568	f	409	4832f1d2-c4fc-4ba9-a033-58a3d6170521
2811	f	410	483cac14-c715-4edb-98dd-99663cff08c1
3907	f	411	4852d8b0-6a1a-4b21-b7a1-caf808c317f9
4013	f	411	4852d8b0-6a1a-4b21-b7a1-caf808c317f9
4298.1	f	412	48a22333-dbae-4688-84f2-2bbd63b3b2b3
3673	f	413	48b013af-a223-4652-a4ce-f66a830a7209
4150	f	415	48f1b448-8f02-46c9-a08c-0e0a0984b065
4254	f	419	4a0e81df-9603-4765-a9e9-799eb08ca30e
4215	f	420	4a0eb9d1-85b9-4787-9ad8-6b3f230eae2f
3571	f	421	4a372a49-0322-4c96-8ce0-f7839002085b
3674	f	424	4acfb1e1-6b93-460a-8a7d-04c5bf069014
